DATE,TOTLQ
1964-01-01,110.782
1964-04-01,112.036
1964-07-01,112.883
1964-10-01,114.086
1965-01-01,115.830
1965-04-01,116.937
1965-07-01,117.922
1965-10-01,119.428
1966-01-01,121.490
1966-04-01,122.796
1966-07-01,123.637
1966-10-01,124.413
1967-01-01,124.559
1967-04-01,124.232
1967-07-01,125.022
1967-10-01,125.800
1968-01-01,126.322
1968-04-01,127.362
1968-07-01,128.501
1968-10-01,129.150
1969-01-01,130.468
1969-04-01,131.583
1969-07-01,132.431
1969-10-01,132.663
1970-01-01,131.983
1970-04-01,131.118
1970-07-01,130.288
1970-10-01,129.419
1971-01-01,129.743
1971-04-01,130.306
1971-07-01,130.678
1971-10-01,131.460
1972-01-01,133.714
1972-04-01,135.023
1972-07-01,135.897
1972-10-01,137.268
1973-01-01,139.130
1973-04-01,140.387
1973-07-01,141.159
1973-10-01,141.762
1974-01-01,141.958
1974-04-01,141.670
1974-07-01,142.001
1974-10-01,140.563
1975-01-01,137.330
1975-04-01,136.344
1975-07-01,137.410
1975-10-01,139.045
1976-01-01,141.311
1976-04-01,141.745
1976-07-01,141.977
1976-10-01,143.058
1977-01-01,143.935
1977-04-01,146.304
1977-07-01,147.915
1977-10-01,149.451
1978-01-01,149.979
1978-04-01,153.741
1978-07-01,155.338
1978-10-01,156.708
1979-01-01,157.645
1979-04-01,158.169
1979-07-01,159.378
1979-10-01,159.673
1980-01-01,159.620
1980-04-01,157.947
1980-07-01,156.978
1980-10-01,158.581
1981-01-01,159.158
1981-04-01,159.311
1981-07-01,159.232
1981-10-01,158.669
1982-01-01,156.304
1982-04-01,156.897
1982-07-01,155.771
1982-10-01,154.771
1983-01-01,155.588
1983-04-01,156.890
1983-07-01,159.464
1983-10-01,161.777
1984-01-01,164.357
1984-04-01,166.358
1984-07-01,167.625
1984-10-01,168.934
1985-01-01,169.748
1985-04-01,171.157
1985-07-01,171.980
1985-10-01,172.882
1986-01-01,172.785
1986-04-01,172.815
1986-07-01,173.362
1986-10-01,174.516
1987-01-01,176.509
1987-04-01,177.994
1987-07-01,179.242
1987-10-01,180.812
1988-01-01,181.407
1988-04-01,183.166
1988-07-01,184.330
1988-10-01,186.212
1989-01-01,188.179
1989-04-01,189.215
1989-07-01,189.554
1989-10-01,190.351
1990-01-01,190.581
1990-04-01,190.901
1990-07-01,190.677
1990-10-01,189.395
1991-01-01,188.264
1991-04-01,187.125
1991-07-01,187.318
1991-10-01,187.848
1992-01-01,187.618
1992-04-01,188.444
1992-07-01,188.076
1992-10-01,189.484
1993-01-01,190.770
1993-04-01,192.672
1993-07-01,193.464
1993-10-01,195.034
1994-01-01,196.609
1994-04-01,199.256
1994-07-01,201.014
1994-10-01,202.186
1995-01-01,203.521
1995-04-01,203.760
1995-07-01,205.131
1995-10-01,205.540
1996-01-01,205.260
1996-04-01,207.921
1996-07-01,209.736
1996-10-01,211.542
1997-01-01,212.393
1997-04-01,213.807
1997-07-01,215.391
1997-10-01,217.157
1998-01-01,218.582
1998-04-01,219.613
1998-07-01,220.267
1998-10-01,222.385
1999-01-01,223.084
1999-04-01,224.651
1999-07-01,225.701
1999-10-01,227.054
2000-01-01,228.603
2000-04-01,229.489
2000-07-01,229.729
2000-10-01,229.451
2001-01-01,229.211
2001-04-01,227.765
2001-07-01,226.897
2001-10-01,224.971
2002-01-01,223.956
2002-04-01,224.795
2002-07-01,224.439
2002-10-01,224.378
2003-01-01,222.880
2003-04-01,222.442
2003-07-01,222.244
2003-10-01,222.973
2004-01-01,224.441
2004-04-01,224.815
2004-07-01,225.473
2004-10-01,226.422
2005-01-01,227.272
2005-04-01,228.059
2005-07-01,229.556
2005-10-01,230.501
2006-01-01,232.198
2006-04-01,232.827
2006-07-01,233.911
2006-10-01,234.790
2007-01-01,234.784
2007-04-01,236.123
2007-07-01,236.087
2007-10-01,236.957
2008-01-01,236.325
2008-04-01,235.553
2008-07-01,233.873
2008-10-01,230.408
2009-01-01,225.464
2009-04-01,221.445
2009-07-01,219.035
2009-10-01,218.827
2010-01-01,219.246
2010-04-01,221.816
2010-07-01,222.069
2010-10-01,222.764
2011-01-01,223.289
2011-04-01,225.090
2011-07-01,225.948
2011-10-01,227.136
2012-01-01,228.198
2012-04-01,228.507
2012-07-01,230.164
2012-10-01,230.619
2013-01-01,231.813
2013-04-01,232.291
2013-07-01,233.255
2013-10-01,234.662
2014-01-01,234.514
2014-04-01,237.236
2014-07-01,238.110
2014-10-01,240.011
2015-01-01,240.730
2015-04-01,241.683
2015-07-01,242.846
2015-10-01,244.151
2016-01-01,244.881
2016-04-01,245.319
2016-07-01,246.323
2016-10-01,246.733
2017-01-01,247.584
2017-04-01,249.319
2017-07-01,249.900
2017-10-01,251.556
2018-01-01,252.555
